"A1_*Loc","A2_*Loc","A1_Ag","A1_Ag_INAA","A1_Al","A1_Al2O3","A1_As","A1_As_INAA","A1_Au_INAA","A1_B","A1_Ba","A1_Ba_INAA","A1_Be","A1_Bi","A1_Br","A1_Br_INAA","A1_Ca","A1_Ca_INAA","A1_CaO","A1_Cd","A1_Ce_INAA","A1_Cl","A1_Co","A1_Co_INAA","A1_Cond","A1_Cr","A1_Cr_INAA","A1_Cs_INAA","A1_Cu","A1_Eu_INAA","A1_F","A1_F_ionselect","A1_Fe","A1_Fe_INAA","A1_Fe2O3","A1_Hf_INAA","A1_Hg","A1_Hg_INAA","A1_Ir_INAA","A1_K","A1_K2O","A1_La","A1_La_INAA","A1_Li","A1_LOI","A1_Lu_INAA","A1_Mass_INAA","A1_Mg","A1_MgO","A1_Mn","A1_MnO","A1_Mo","A1_Mo_INAA","A1_Na","A1_Na_INAA","A1_Na2O","A1_Nd_INAA","A1_Ni","A1_Ni_INAA","A1_NO2","A1_NO3","A1_P","A1_P2O5","A1_Pb","A1_pH","A1_PO4","A1_Rb","A1_S","A1_Sb","A1_Sb_INAA","A1_Sc","A1_Sc_INAA","A1_Se","A1_Se_INAA","A1_Si","A1_SiO2","A1_Sm_INAA","A1_Sn_INAA","A1_SO4","A1_Sr","A1_Sr_INAA","A1_Sum","A1_Ta_INAA","A1_Tb_INAA","A1_Te","A1_Th","A1_Th_INAA","A1_Ti","A1_TiO2","A1_U_INAA","A1_V","A1_W_INAA","A1_Y","A1_Yb_INAA","A1_Zn","A1_Zn_INAA","A2_Ag","A2_Ag_INAA","A2_Al","A2_Al2O3","A2_As","A2_As_INAA","A2_Au_INAA","A2_B","A2_Ba","A2_Ba_INAA","A2_Be","A2_Bi","A2_Br","A2_Br_INAA","A2_Ca","A2_Ca_INAA","A2_CaO","A2_Cd","A2_Ce_INAA","A2_Cl","A2_Co","A2_Co_INAA","A2_Cond","A2_Cr","A2_Cr_INAA","A2_Cs_INAA","A2_Cu","A2_Eu_INAA","A2_F","A2_F_ionselect","A2_Fe","A2_Fe_INAA","A2_Fe2O3","A2_Hf_INAA","A2_Hg","A2_Hg_INAA","A2_Ir_INAA","A2_K","A2_K2O","A2_La","A2_La_INAA","A2_Li","A2_LOI","A2_Lu_INAA","A2_Mass_INAA","A2_Mg","A2_MgO","A2_Mn","A2_MnO","A2_Mo","A2_Mo_INAA","A2_Na","A2_Na_INAA","A2_Na2O","A2_Nd_INAA","A2_Ni","A2_Ni_INAA","A2_NO2","A2_NO3","A2_P","A2_P2O5","A2_Pb","A2_pH","A2_PO4","A2_Rb","A2_S","A2_Sb","A2_Sb_INAA","A2_Sc","A2_Sc_INAA","A2_Se","A2_Se_INAA","A2_Si","A2_SiO2","A2_Sm_INAA","A2_Sn_INAA","A2_SO4","A2_Sr","A2_Sr_INAA","A2_Sum","A2_Ta_INAA","A2_Tb_INAA","A2_Te","A2_Th","A2_Th_INAA","A2_Ti","A2_TiO2","A2_U_INAA","A2_V","A2_W_INAA","A2_Y","A2_Yb_INAA","A2_Zn","A2_Zn_INAA"
14,5,0.02,2.5,9880,13.36,1.9,0.25,0.003,3,32.2,610,0.31,0.206,0.001,28,1250,5000,0.86,0.018,200,0.0028586,9.9,12,3.4,10,37,5,21.8,2,0.0005,0.000001,20900,50900,5.85,13,0.02,0.5,0.0025,2900,2.76,41.5,64,11.4,3.42,1.93,33.71,3250,0.83,149,0.11,0.9,0.5,50,12100,2.01,50,13.2,10,0.0005,0.0005,604,0.15,8.3,5.5,0.002,130,48,0.087,0.05,2,20,0.251,1.5,110,70.39,9.9,50,0.003418,4,250,100.47,1.2,1.9,0.016,25,22,815,0.72,4.9,14.5,0.5,18.5,13.2,50.8,91,0.023,2.5,9850,13.76,2.2,0.25,0.007,1.5,30.3,660,0.33,0.234,0.001,27,1120,5000,1.01,0.02,200,0.0028184,10.5,12,3,9.9,37,4,23.9,2,0.0005,0.000001,20900,53100,7.37,13,0.03,0.5,0.0025,2800,2.64,42,64,11.3,3.16,2.38,37.08,3280,0.86,146,0.17,1.1,0.5,40,11600,1.25,50,13.9,10,0.0005,0.0005,580,0.14,8.9,5.9,0.002,130,51,0.108,0.05,1.8,21,0.28,1.5,110,68.48,9.7,50,0.0036534,3.7,250,99.55,0.8,1.5,0.015,25,22,754,0.71,5.2,14.1,0.5,18.7,16.3,52.8,104
29,21,0.005,2.5,10300,14.79,0.3,0.25,0.001,3,93,730,0.25,0.009,0.001,2.6,3800,30000,4.67,0.024,51,0.001,8.2,15,2.6,39.9,110,0.5,13.7,1.4,0.0005,0.000001,14800,34600,5.51,4,0.01,0.5,0.0025,1600,1.18,27.5,32,4.5,1.52,0.22,46.97,5330,2.86,164,0.08,0.1,0.5,210,32400,4.45,21,21.3,10,0.0005,0.0005,840,0.18,1.6,5.9,0.002,36,18,0.005,0.05,2.5,15,0.036,1.5,130,64.78,4,50,0.0042836,18.7,1000,100.62,0.25,0.8,0.004,10,4.8,1060,0.61,0.25,42,0.5,4,1.5,20.9,70,0.005,2.5,10600,14.63,0.3,0.25,0.001,3,93.2,740,0.26,0.015,0.001,2.9,3950,30000,4.45,0.025,63,0.001,8.7,17,1.9,40.9,120,0.5,14,1.5,0.0005,0.000001,15700,40500,5.25,5,0.01,0.5,0.0025,1700,1.18,26.7,37,4.5,1.52,0.27,37.15,5410,2.69,170,0.08,0.1,0.5,220,36600,4.03,25,21.8,10,0.0005,0.0005,860,0.17,1.5,5.8,0.002,35,18,0.005,0.05,2.6,17,0.023,1.5,120,65.15,4.8,50,0.0027354,19.3,700,99.73,1.5,1.5,0.0015,8,5.4,1070,0.59,0.25,46.3,0.5,4,1.8,21.2,25
44,40,0.01,2.5,14200,13.72,0.4,0.25,0.006,1.5,48.8,420,0.26,0.018,0.001,12,1240,20000,2.68,0.023,47,0.001,8.5,17,3.4,43.5,160,0.5,18.1,1,0.0005,0.000001,16900,51900,7.5,6,0.01,0.5,0.0025,800,1.63,10.5,25,7.6,2.74,0.49,50.83,3800,3.18,98,0.09,0.1,0.5,180,16300,2.13,15,25.4,10,0.0005,0.0005,229,0.06,4,5.4,0.002,40,43,0.005,0.05,2.9,22,0.063,1.5,220,65.59,3.6,50,0.0040534,5.9,250,100.09,1,0.25,0.014,7,5.8,692,0.77,1.4,48.1,0.5,3.4,3.3,23.5,101,0.011,2.5,14500,13.94,0.3,0.25,0.001,3,48.5,610,0.26,0.018,0.001,15,1150,30000,2.74,0.021,60,0.0024224,8.9,19,3.3,48.6,180,0.5,18.2,1.1,0.0005,0.000001,17600,58800,7.7,6,0.01,0.5,0.0025,800,1.61,9.7,30,8,2.59,0.55,35.37,3920,3.26,101,0.09,0.1,0.5,170,18000,2.14,20,26,10,0.0005,0.0005,233,0.07,2,5.9,0.002,47,44,0.014,0.05,2.9,25,0.072,1.5,220,64.85,4.7,50,0.0043266,5.9,250,99.79,0.25,0.9,0.01,5,7.9,716,0.8,0.25,49,0.5,3.4,3.7,23.8,25
59,52,0.001,2.5,3040,12.08,0.2,0.25,0.001,1.5,9,610,0.11,0.012,0.001,2.4,1410,20000,2.36,0.01,20,0.001,1.8,6,2.2,6.6,31,0.5,1.9,0.6,0.0005,0.000001,4830,18000,2.08,4,0.02,0.5,0.0025,300,2.34,6.8,10,3.9,0.97,0.15,47.79,720,0.82,55.8,0.04,0.1,0.5,100,30900,3.61,6,2.8,10,0.0005,0.0005,322,0.06,1.5,5.8,0.002,66,16,0.005,0.05,0.8,8.3,0.015,1.5,140,74.67,1.5,50,0.002,4.5,250,99.26,0.25,0.25,0.0015,4,3.5,333,0.25,1.2,11.6,0.5,2.3,1,5.5,25,0.002,2.5,3290,12.21,0.2,0.25,0.001,1.5,10.5,660,0.11,0.014,0.001,3.4,1630,20000,2.68,0.01,21,0.001,2,7,2.2,6.9,37,0.5,2,0.7,0.0005,0.000001,4790,20900,2.63,5,0.01,0.5,0.0025,300,2.24,6.4,11,4.4,0.99,0.2,36.54,830,1.03,62.6,0.05,0.1,0.5,110,32000,3.58,12,3,10,0.0005,0.0005,327,0.07,1.5,5.6,0.002,74,16,0.005,0.05,0.9,9.8,0.005,1.5,150,74.19,1.8,50,0.0020844,5.3,250,99.96,0.8,0.25,0.0015,4,3.8,380,0.3,1.9,12,0.5,2.4,1.3,6.2,25
74,64,0.007,2.5,5320,13.56,0.1,0.25,0.001,1.5,23.6,570,0.12,0.02,0.001,8.8,2730,40000,3.87,0.025,46,0.001,3.1,10,2.9,11.9,72,0.5,6.5,1.2,0.0005,0.000001,7380,36300,5.14,7,0.01,0.5,0.0025,600,1.41,11.3,21,3.6,0.85,0.42,42.53,2080,2,91.9,0.08,0.1,0.5,210,25800,3.14,18,5.1,10,0.0005,0.0005,544,0.13,1.2,5.5,0.002,35,16,0.005,0.05,1.8,17,0.029,1.5,130,68.66,3.7,50,0.0027508,7.7,250,99.45,0.25,0.25,0.0015,3,3.9,518,0.62,0.25,16.5,0.5,5,2.5,13.2,25,0.007,2.5,5010,13.58,0.2,0.25,0.001,1.5,21.1,490,0.12,0.019,0.001,8.6,2660,30000,3.99,0.027,48,0.001,2.8,12,2.8,11.2,81,0.5,6.2,1.4,0.0005,0.000001,6830,42300,5.42,8,0.02,0.5,0.0025,600,1.41,10.7,26,3.3,0.93,0.56,33.17,1870,2.1,81.7,0.08,0.1,0.5,200,29400,3.06,23,5,10,0.0005,0.0005,557,0.13,1.2,5.5,0.002,61,18,0.005,0.2,1.7,21,0.026,1.5,120,68.13,4.5,50,0.0032274,7.4,250,99.5,0.25,0.25,0.0015,4,4.6,494,0.66,1,15.6,0.5,4.9,3.7,12,82
89,85,0.006,2.5,6210,12.47,0.4,0.9,0.005,1.5,27.8,390,0.18,0.016,0.001,0.25,1410,20000,2.37,0.017,29,0.001,5,10,2.8,41.4,110,0.5,10.6,0.6,0.0005,0.000001,13900,28200,5.18,4,0.01,0.5,0.0025,1000,1.4,11.1,17,4.4,1.13,0.23,45.95,2950,1.92,86.6,0.08,0.1,0.5,110,25700,2.73,11,11.7,10,0.0005,0.0005,244,0.07,1,5.6,0.002,56,10,0.016,0.05,2,12,0.016,1.5,130,70.34,2.2,50,0.0022864,4.2,250,98.11,0.25,0.25,0.006,7,5,905,0.42,1.5,35.1,0.5,3.7,1.5,8.9,25,0.007,2.5,6460,11.15,0.5,0.25,0.005,1.5,27.7,380,0.18,0.015,0.001,0.25,1530,30000,2.62,0.017,40,0.001,5.6,12,3,44,140,0.5,10,1,0.0005,0.000001,15400,35700,4.15,6,0.01,0.5,0.0025,1100,1.73,13.7,20,4.1,1.12,0.34,30.76,3160,1.88,89,0.05,0.1,0.5,130,30000,3.22,19,12.5,10,0.0005,0.0005,259,0.06,1,5.9,0.002,33,13,0.013,0.4,2.1,14,0.019,1.5,220,73.21,3.1,50,0.0027044,4.3,250,99.76,1.6,0.25,0.0015,9,6.8,910,0.57,0.25,37.4,0.5,4.1,1.7,8.5,25
104,100,0.007,2.5,6000,14.27,0.3,0.25,0.001,1.5,25,420,0.12,0.008,0.001,8.4,1670,30000,3.55,0.014,39,0.0033112,6.5,11,2.7,33.3,120,0.5,11.8,0.9,0.0005,0.000001,11800,26600,4.15,4,0.01,0.5,0.0025,900,1.37,9.5,22,5,1.21,0.19,39.28,2780,1.94,101,0.06,0.1,0.5,140,29500,3.78,18,24.1,10,0.0005,0.0005,463,0.1,0.8,5.7,0.002,31,30,0.012,0.05,1.5,11,0.045,1.5,140,68.9,2.9,50,0.0033742,7.1,250,99.72,0.8,0.25,0.005,5,4.7,562,0.38,1.2,30.9,0.5,2.8,1.1,12.4,25,0.005,2.5,5690,14.24,0.3,0.25,0.001,1.5,25.7,510,0.12,0.014,0.001,8.7,1550,30000,3.51,0.015,31,0.001,5.8,12,2.8,29.2,110,0.5,11,0.9,0.0005,0.000001,11100,27000,3.91,4,0.01,0.5,0.0025,900,1.39,11.4,19,4.6,1.38,0.25,30.7,2240,1.84,93.5,0.06,0.1,0.5,130,31000,3.81,12,20.7,10,0.0005,0.0005,442,0.1,0.8,5.5,0.002,47,25,0.012,0.05,1.5,11,0.048,1.5,130,69.12,2.7,50,0.0031626,6.4,250,99.73,0.25,0.25,0.01,5,3.4,523,0.36,0.25,29.9,0.5,2.8,1.2,12.6,25
119,117,0.004,2.5,3540,12.74,0.1,0.25,0.001,1.5,15,580,0.11,0.03,0.001,3.3,2160,30000,3.1,0.012,22,0.001,2.9,9,2.7,10.9,75,0.5,6.9,0.8,0.0005,0.000001,6490,22900,2.98,5,0.01,0.5,0.0025,600,1.85,10.1,12,4.7,0.75,0.22,38.76,1630,1.41,68,0.05,0.1,0.5,160,35000,3.93,10,6.2,10,0.0005,0.0005,397,0.08,1.6,5.5,0.002,61,12,0.005,0.05,1.2,10,0.012,1.5,120,72.73,2.1,50,0.002065,6.2,600,99.99,0.9,0.25,0.0015,5,3.3,512,0.38,1.4,14.7,0.5,3,1.3,7.3,25,0.004,2.5,3020,12.55,0.2,0.25,0.001,1.5,12.2,570,0.1,0.028,0.001,3,1810,30000,3.16,0.011,23,0.0029738,2.5,9,2.5,10.6,69,0.5,6.4,0.8,0.0005,0.000001,5740,22600,3.02,5,0.01,0.5,0.0025,500,1.81,6.9,12,3.7,0.74,0.23,36.18,1280,1.45,55.3,0.05,0.1,0.5,120,34100,3.88,7,5.2,10,0.0005,0.0005,404,0.08,1,5.6,0.002,50,12,0.005,0.05,0.9,9.9,0.014,1.5,110,71.73,2.1,50,0.0023422,4.7,500,98.85,0.9,0.25,0.0015,3,3.3,416,0.39,1.2,13,0.5,2.5,1.2,5.7,73
134,124,0.005,2.5,10400,12.54,4.3,3.9,0.001,1.5,16.7,580,0.25,0.035,0.001,0.25,1880,20000,2.8,0.037,32,0.001,10.9,16,3.1,56.9,130,1,22.2,0.8,0.0005,0.000001,19100,35300,4.55,5,0.01,0.5,0.0025,400,1.9,9.5,16,6.6,1.87,0.27,33.32,5030,2.04,216,0.07,0.1,0.5,100,27600,3.28,16,26.2,10,0.0005,0.0005,237,0.06,2.2,5.7,0.002,61,17,0.05,0.05,3.4,16,0.078,1.5,140,71.06,2.6,50,0.0028204,7.4,250,100.84,0.25,0.6,0.007,6,4,1320,0.68,1.4,47.4,0.5,3.8,1.7,20.7,25,0.005,2.5,10700,12.59,4,5.2,0.001,1.5,16.6,480,0.25,0.041,0.001,2.4,2070,20000,2.78,0.04,35,0.001,10.7,17,3.2,57.7,140,0.5,21.8,0.8,0.0005,0.000001,18800,35900,4.59,5,0.02,0.5,0.0025,400,1.9,9.7,17,6.8,1.94,0.28,33.56,5190,2.04,226,0.07,0.1,0.5,110,28500,3.28,13,26,10,0.0005,0.0005,236,0.06,2.3,5.5,0.002,66,17,0.054,0.4,3.5,17,0.07,1.5,130,70.41,2.5,50,0.002692,8.2,250,100.34,0.25,0.25,0.004,6,5.1,1390,0.68,2.7,46.4,0.5,3.9,1.5,20.9,88
149,141,0.022,2.5,7700,14.6,0.3,3.4,0.001,1.5,42.5,640,0.18,0.069,0.001,7.8,2700,40000,3.64,0.025,57,0.001,6,14,2.5,29.3,100,0.5,17.4,1.1,0.0005,0.000001,13600,42600,5.33,8,0.01,0.5,0.0025,1800,1.78,13.4,29,10.6,1.2,0.49,34.87,3680,2.07,124,0.08,0.1,0.5,240,29200,3.19,29,16.4,60,0.0005,0.0005,451,0.12,1.8,5.4,0.002,35,27,0.005,0.4,3.3,19,0.027,1.5,120,69.34,4.5,50,0.0046076,5.7,250,102,1.6,0.25,0.006,5,6.2,1000,0.65,0.25,36.8,0.5,4.7,2.4,22.5,55,0.023,2.5,8040,14.18,0.4,0.25,0.001,1.5,42,600,0.2,0.063,0.001,6.3,2920,30000,3.6,0.026,50,0.001,6,13,2.5,30.3,93,2,17.6,1.3,0.0005,0.000001,14300,38200,5.39,7,0.01,0.5,0.0025,1700,1.71,15.8,28,10.3,1.12,0.39,34.02,3850,2.09,132,0.08,0.1,2,260,26700,3.22,22,16.8,10,0.0005,0.0005,481,0.12,2.1,5.7,0.002,63,26,0.005,0.05,3.4,18,0.05,1.5,120,67.32,4.3,50,0.001,6.3,250,99.49,0.9,0.25,0.005,8,8.1,1030,0.65,0.25,38.4,0.5,5.6,2.5,22.2,85
