"*Loc","Ag","Ag_INAA","Al","Al2O3","As","As_INAA","Au_INAA","B","Ba","Ba_INAA","Be","Bi","Br","Br_INAA","Ca","Ca_INAA","CaO","Cd","Ce_INAA","Cl'","Co","Co_INAA","Cond","Cr","Cr_INAA","Cs_INAA","Cu","Eu_INAA","F'","F_ionselect","Fe","Fe_INAA","Fe2O3","Hf_INAA","Hg","Hg_INAA","Ir_INAA","K","K2O","La","La_INAA","Li","LOI","Lu_INAA","Mass_INAA","Mg","MgO","Mn","MnO","Mo","Mo_INAA","Na","Na_INAA","Na2O","Nd_INAA","Ni","Ni_INAA","NO2'","NO3'","P","P2O5","Pb","pH","PO4'''","Rb","S","Sb","Sb_INAA","Sc","Sc_INAA","Se","Se_INAA","Si","SiO2","Sm_INAA","Sn_INAA","SO4''","Sr","Sr_INAA","Sum","Ta_INAA","Tb_INAA","Te","Th","Th_INAA","Ti","TiO2","U_INAA","V","W_INAA","Y","Yb_INAA","Zn","Zn_INAA"
15,0.008,2.5,4180,10.05,0.2,0.25,0.001,1.5,38,440,0.1,0.008,0.001,4.2,1730,5000,2.17,0.011,33,0.001,5.1,11,1.3,41.6,130,0.5,13.3,0.6,0.0005,0.000001,9530,25700,3.31,5,0.01,0.5,0.0025,1000,1.17,8.1,15,3.7,0.74,0.2,32.24,3140,1.57,141,0.05,0.1,5,90,30100,3.34,10,15.9,10,0.0005,0.0010184,390,0.08,0.8,6.3,0.002,32,8,0.013,0.05,1.4,11,0.024,1.5,100,76.39,2.3,50,0.0023972,7.1,250,99.31,0.25,0.25,0.008,4,3,491,0.43,0.25,20.4,0.5,3,1.4,9.7,87
30,0.007,2.5,4170,10.11,0.2,0.25,0.003,1.5,36.3,410,0.1,0.012,0.001,3.9,1840,30000,2.16,0.012,35,0.0020954,5.4,10,1.7,42.8,130,0.5,12.8,0.7,0.001105,0.000001,10100,25100,3.22,5,0.01,0.5,0.0025,1000,1.19,8.3,16,3.6,0.76,0.21,34.4,3170,1.6,120,0.05,0.1,0.5,100,30000,3.42,11,16,10,0.0005,0.0005,413,0.08,0.8,5.9,0.002,40,9,0.005,0.05,1.5,11,0.038,1.5,110,76.5,2.3,50,0.001,7.5,250,99.51,0.25,0.25,0.0015,4,3.1,515,0.42,0.25,22.7,0.5,3.3,1.4,9.4,25
45,0.006,2.5,3920,10.14,0.1,0.25,0.001,1.5,34.4,440,0.09,0.016,0.001,3.3,1620,20000,2.1,0.012,36,0.001,5.1,10,1.7,40.3,140,0.5,12.3,0.7,0.0005,0.000001,9030,26500,3.23,5,0.01,0.5,0.0025,900,1.21,7.4,16,3.5,0.77,0.22,37.66,2970,1.56,116,0.05,0.1,0.5,80,30900,3.42,13,15,10,0.0005,0.0005,387,0.08,0.8,4.7,0.002,37,11,0.005,0.05,1.4,11,0.028,1.5,100,76.5,2.4,50,0.001,6.5,250,99.46,0.25,0.25,0.005,4,3.2,452,0.41,1.1,20.1,0.5,2.9,1.5,9.2,25
60,0.006,2.5,3560,10.03,0.2,0.25,0.004,1.5,32,450,0.09,0.008,0.001,3.9,1460,20000,2.19,0.011,36,0.001,5.4,12,1.9,41.5,130,0.5,11.7,0.7,0.0005,0.000001,9160,26400,3.29,5,0.01,0.5,0.0025,900,1.19,7.2,16,3.2,0.74,0.21,34.26,2730,1.59,109,0.05,0.1,0.5,70,30800,3.38,12,14.4,73,0.0005,0.0013,399,0.08,0.8,5.9,0.002,37,8,0.005,0.05,1.2,11,0.027,1.5,90,76.32,2.4,50,0.001,5.5,250,99.28,0.25,0.25,0.0015,5,3.1,421,0.43,0.25,19.6,0.5,2.7,1.5,8.4,25
75,0.007,2.5,4200,9.96,0.1,0.25,0.001,1.5,36.1,350,0.1,0.016,0.001,0.25,1860,20000,2.19,0.01,31,0.001,6.6,9,2.2,46.2,120,0.5,13.1,0.6,0.001192,0.000001,10300,24300,3.28,4,0.01,0.5,0.0025,1000,1.18,8.9,15,3.8,0.73,0.25,33.14,3180,1.6,123,0.05,0.1,0.5,90,28000,3.38,16,15.9,10,0.0005,0.0005,434,0.08,0.8,5.7,0.002,31,8,0.005,0.05,1.5,10,0.057,1.5,100,76.21,1.9,50,0.001,7.9,250,99.1,1.6,0.25,0.011,4,2.9,526,0.43,2,22.9,0.5,3.2,1.4,10,25
90,0.007,2.5,4020,10.26,0.4,0.25,0.001,1.5,34.8,410,0.1,0.011,0.001,0.25,1680,30000,2.14,0.011,33,0.001,7.8,10,1.8,43,110,0.5,15.9,0.6,0.0005,0.000001,10100,24500,3.3,4,0.01,0.5,0.0025,1000,1.22,7.7,15,3.8,0.76,0.22,33.24,3120,1.58,121,0.05,0.1,0.5,80,28600,3.4,15,15.8,10,0.0005,0.0005,409,0.08,0.8,5.9,0.002,34,17,0.005,0.05,1.5,10,0.064,1.5,110,76.96,2.1,50,0.001,6.7,250,100.18,0.25,0.25,0.0015,5,2.4,478,0.43,1.4,22.3,0.5,3,1.1,9.3,25
105,0.006,2.5,3950,10.16,0.05,0.25,0.005,1.5,33.6,360,0.1,0.014,0.001,3.2,1670,20000,2.22,0.01,32,0.0029354,5.2,10,1.8,41.8,120,0.5,12,0.7,0.0005,0.000001,9780,23600,3.41,4,0.01,0.5,0.0025,900,1.19,8,16,3.8,0.73,0.2,35.14,3030,1.6,120,0.05,0.1,3,80,27600,3.42,11,15,10,0.0005,0.0005,401,0.08,0.8,5.9,0.002,28,12,0.005,0.05,1.4,10,0.018,1.5,90,76.08,2.1,50,0.001,6.9,250,99.39,0.25,0.25,0.005,4,2.6,493,0.44,1.5,21.7,0.5,3,1.2,9,25
120,0.007,2.5,3980,10.03,0.2,0.25,0.001,1.5,32.4,510,0.1,0.015,0.001,4,1870,5000,2.23,0.011,37,0.001,4.9,10,1.7,47.9,130,0.5,12.2,0.7,0.0005,0.000001,10000,25200,3.3,5,0.01,0.5,0.0025,900,1.17,8.2,16,3.3,0.72,0.19,35.23,3050,1.61,123,0.05,0.1,0.5,100,29200,3.39,14,15.7,10,0.0005,0.0005,420,0.09,0.9,5.6,0.002,34,8,0.005,0.05,1.5,11,0.029,1.5,100,76.87,2.3,50,0.001,7.4,250,99.9,0.25,0.25,0.005,4,3,526,0.45,1.1,22.2,0.5,3.1,1.4,9.5,25
135,0.008,2.5,3850,10.01,0.3,0.25,0.001,1.5,35.4,370,0.1,0.01,0.001,0.25,1470,20000,2.18,0.011,32,0.001,5.2,10,1.9,43.9,120,0.5,12.1,0.5,0.0010598,0.000001,9570,24400,3.32,5,0.01,0.5,0.0025,1000,1.18,7.6,15,3.4,0.73,0.21,35.41,2980,1.59,112,0.05,0.1,0.5,80,28700,3.39,11,14.8,10,0.0005,0.0005,371,0.08,0.8,5.8,0.002,41,9,0.012,0.05,1.3,10,0.042,1.5,100,76.57,2.1,50,0.001,5.7,250,99.53,0.25,0.25,0.0015,3,3,463,0.43,1.1,20.3,0.5,2.6,1.2,9.3,25
150,0.007,2.5,3750,9.97,0.1,1.2,0.005,1.5,31.9,490,0.09,0.01,0.001,3.8,1640,20000,2.23,0.008,38,0.001,4.9,11,1.8,41.7,130,0.5,12.3,0.8,0.001399,0.000001,9470,27100,3.33,6,0.01,0.5,0.0025,800,1.18,7.5,16,3.1,0.73,0.26,35.93,2860,1.59,128,0.05,0.1,0.5,80,33000,3.4,13,14.7,10,0.0005,0.0005,392,0.08,0.7,5.6,0.002,7.5,9,0.018,0.05,1.3,12,0.025,1.5,100,75.11,2.3,50,0.001,6.5,250,98.12,0.25,0.25,0.005,3,2.7,467,0.44,2.2,20,0.5,2.8,1.8,8.3,25
