V1,V2
417575.009187279,7612984.26561428
417703.910499748,7612984.26561428
418889.802574457,7613293.32532601
420307.71701161,7614529.56417296
422731.061686017,7615971.84282773
422731.061686017,7616049.10775566
422499.039323574,7617130.81674674
422602.160373549,7618186.77076184
422421.698536093,7618856.40013727
422163.895911156,7619629.04941661
422112.335386169,7621251.61290323
422421.698536093,7623054.46122169
423246.666935891,7623724.09059712
423220.886673397,7624007.39533288
422937.303785967,7625372.40905971
423117.765623423,7626479.87302677
422963.084048460,7627175.25737817
423066.205098435,7628411.49622512
423375.568248359,7629673.49004804
423452.909035840,7630008.30473576
423659.15113579,7631141.52367879
423788.052448258,7631759.64310226
423813.832710752,7632223.23266987
423994.294548208,7632764.08716541
424432.559010601,7633150.41180508
424922.383997981,7633459.47151682
425489.549772842,7633820.0411805
426649.661585058,7634747.22031572
427242.607622413,7635262.31983528
427706.652347299,7636163.74399451
428351.158909642,7637296.96293754
428531.620747097,7637889.32738504
429305.028621908,7638455.93685655
429820.633871782,7638945.28140014
430258.898334175,7639408.87096774
430645.60227158,7639975.48043926
431083.866733973,7640284.540151
432708.023271075,7641005.67947838
433584.552195861,7641752.57378174
434100.157445734,7642267.6733013
434383.740333165,7642576.73301304
435002.466633014,7642525.22306108
435079.807420495,7642602.48798902
435182.928470469,7642988.81262869
435337.610045432,7643323.6273164
435878.995557799,7643297.87234043
436446.16133266,7643529.66712423
437013.327107521,7643890.23678792
437580.492882383,7644173.54152368
437941.416557294,7644559.86616335
438353.900757193,7644611.37611531
438869.506007067,7644302.31640357
439385.111256941,7643632.68702814
439694.474406865,7643272.11736445
439823.375719334,7643066.07755662
440467.882281676,7642550.97803706
441267.07041898,7642473.71310913
442014.698031297,7642293.42827728
442401.401968703,7642138.89842141
442891.226956083,7642241.91832533
443200.590106007,7642550.97803706
443819.316405856,7642705.50789293
444206.020343261,7643220.60741249
444283.361130742,7643452.4021963
444515.383493185,7643941.74673988
445108.32953054,7644379.5813315
445752.836092882,7645976.38984214
445804.39661787,7646594.50926561
446191.100555275,7647238.38366507
446526.243967693,7648114.05284832
446784.04659263,7648835.1921757
446990.288692579,7649685.10638298
448330.862342251,7654037.69732327
450006.579404341,7656458.6650652
450522.184654215,7657205.55936857
448794.907067138,7667018.2052162
449130.050479556,7669052.84831846
449490.974154467,7670520.88194921
449516.754416961,7670675.41180508
449619.875466936,7671679.85586822
448949.5886421,7673869.02882636
448640.225492176,7675285.55250515
448330.862342251,7676805.09608785
447892.597879859,7678041.3349348
