V1,V2
438431.241544674,7895619.37199725
439101.52836951,7896495.04118051
439101.52836951,7896495.04118051
439642.913881878,7895799.6568291
439642.913881878,7895542.10706932
438998.407319536,7895052.76252574
NA,NA
447376.992629985,7889979.03225806
447763.69656739,7890416.86684969
448433.983392226,7890468.37680165
448846.467592125,7891138.00617708
448846.467592125,7891138.00617708
450109.700454316,7890365.35689774
451733.856991418,7888227.69389156
452429.924078748,7887583.8194921
452197.901716305,7887326.26973233
452197.901716305,7887120.2299245
NA,NA
460782.729126704,7884493.22237474
461788.159363958,7884956.81194235
462071.742251388,7885085.58682224
462252.204088844,7885162.85175017
461813.939626451,7885446.15648593
461813.939626451,7885446.15648593
460937.410701666,7885420.40150995
460267.12387683,7884956.81194235
460782.729126704,7884493.22237474
NA,NA
530002.733922262,7882716.12903226
530054.294447249,7882407.06932052
530183.195759717,7882407.06932052
530492.558909642,7882973.67879204
530337.87733468,7883411.51338367
529951.173397274,7883797.83802334
530337.87733468,7884003.87783116
530337.87733468,7884003.87783116
530544.119434629,7883926.61290323
530724.581272085,7884905.3019904
531059.724684503,7884905.3019904
531059.724684503,7884905.3019904
531343.307571933,7883334.24845573
531962.033871782,7883514.53328758
531962.033871782,7884132.65271105
532735.441746593,7884750.77213452
532890.123321555,7885394.64653397
533431.508833922,7885703.70624571
533534.629883897,7885883.99107756
533122.145683998,7886141.54083734
533328.387783948,7886450.60054907
533637.750933872,7886553.62045299
534385.378546189,7887223.24982841
534540.060121151,7888304.9588195
534823.643008582,7888485.24365134
534823.643008582,7888485.24365134
535210.346945987,7888382.22374743
535210.346945987,7888073.16403569
535055.665371025,7887764.10432395
534952.54432105,7887506.55456417
535004.104846037,7887120.2299245
534359.598283695,7886218.80576527
535261.907470974,7885265.87165408
NA,NA
447376.992629985,7889979.03225806
446964.508430086,7889901.76733013
446758.266330136,7890107.80713795
447248.091317516,7890519.8867536
447222.311055023,7891086.49622512
447480.11367996,7891807.6355525
447428.553154972,7892065.18531229
446809.826855124,7892554.52985587
445546.593992933,7892657.54975978
445546.593992933,7892657.54975978
444798.966380616,7892374.24502402
444541.163755679,7891756.12560055
444154.459818274,7891807.6355525
443071.688793538,7893327.17913521
443071.688793538,7893327.17913521
442839.666431095,7892992.3644475
442917.007218576,7892116.69526424
442684.984856133,7891472.82086479
443252.150630994,7890365.35689774
443097.469056032,7889541.19766644
442942.78748107,7889463.9327385
442452.96249369,7889850.25737817
442452.96249369,7889850.25737817
442066.258556285,7889695.7275223
442014.698031297,7889772.99245024
441550.653306411,7890365.35689774
440571.003331651,7890519.8867536
440571.003331651,7890519.8867536
439642.913881878,7890313.84694578
439075.748107017,7890648.6616335
439075.748107017,7890648.6616335
437889.856032307,7890519.8867536
437296.909994952,7890674.41660947
436523.502120141,7891163.76115305
436523.502120141,7891163.76115305
436343.040282686,7891060.74124914
436729.744220091,7890082.05216198
436575.062645129,7889747.23747426
436626.623170116,7889541.19766644
437142.22841999,7889257.89293068
437090.667895002,7888639.7735072
437709.394194851,7888614.01853123
437941.416557294,7887789.85929993
437760.954719838,7887455.04461222
436317.260020192,7887042.96499657
435621.192932862,7885626.44131778
435569.632407875,7885497.66643789
435930.556082786,7885291.62663006
436446.16133266,7885343.13658202
436446.16133266,7885343.13658202
437168.008682484,7884776.5271105
436678.183695104,7884570.48730268
435801.654770318,7884518.97735072
435492.291620394,7883926.61290323
435724.313982837,7882690.37405628
436755.524482585,7881557.15511325
438070.317869763,7881222.34042553
438766.384957092,7881376.8702814
439333.550731953,7881814.70487303
439333.550731953,7881814.70487303
439746.034931853,7881737.4399451
440261.640181726,7882020.74468085
440777.2454316,7882407.06932052
440777.2454316,7882407.06932052
441292.850681474,7882407.06932052
441679.554618879,7882690.37405628
441963.13750631,7883360.00343171
441963.13750631,7883360.00343171
442220.940131247,7883128.2086479
442788.105906108,7883025.188744
442891.226956083,7883153.96362389
443277.930893488,7883617.55319149
443613.074305906,7883720.5730954
443613.074305906,7883720.5730954
443870.876930843,7883540.28826355
444334.921655729,7883643.30816747
444334.921655729,7883643.30816747
445314.57163049,7883128.2086479
445907.517667844,7883231.22855182
445907.517667844,7883231.22855182
446113.759767794,7883076.69869595
446087.9795053,7882355.55936857
445649.715042908,7882201.0295127
NA,NA
450908.88859162,7874886.61633493
451630.735941444,7875041.1461908
452223.681978798,7875916.81537406
452146.341191318,7876303.14001373
453254.892478546,7878002.96842828
453254.892478546,7878002.96842828
453770.49772842,7877462.11393274
453976.739828369,7876921.2594372
454647.026653205,7876277.38503775
455549.335840485,7876174.36513384
455678.237152953,7876586.44474948
455678.237152953,7876586.44474948
457225.052902574,7876534.93479753
459390.594952044,7875427.47083047
459699.958101969,7875530.49073439
459648.397576981,7876354.64996568
459906.200201918,7876869.74948524
460396.025189298,7877153.054221
460550.706764260,7877590.88881263
460267.12387683,7878105.98833219
460679.608076729,7878440.8030199
460679.608076729,7878440.8030199
461298.334376577,7878440.8030199
461659.258051489,7878698.35277968
461659.258051489,7878698.35277968
461891.280413932,7878389.29306795
461633.477788995,7877822.68359643
461813.939626451,7877024.27934111
461633.477788995,7876586.44474948
462381.105401312,7875865.3054221
462845.150126199,7875865.3054221
463386.535638566,7876174.36513384
463721.679050984,7876818.23953329
463721.679050984,7876818.23953329
464237.284300858,7876509.17982155
465655.198738011,7876921.2594372
467202.014487632,7878028.72340425
467923.861837456,7879161.94234729
469109.753912166,7879857.3266987
470089.403886926,7881376.8702814
470888.59202423,7882613.10912835
470785.470974255,7885626.44131778
470579.228874306,7885806.72614962
470579.228874306,7885806.72614962
470063.623624432,7885755.21619767
469393.336799596,7885240.1166781
468877.731549722,7885291.62663006
468877.731549722,7885291.62663006
468465.247349823,7885085.58682224
467846.521049975,7884518.97735072
467150.453962645,7884261.42759094
466299.705300353,7883437.26835964
465216.934275618,7881505.64516129
464881.7908632,7880552.7110501
464546.647450782,7880295.16129032
464108.38298839,7880604.22100206
463902.14088844,7880758.75085793
463902.14088844,7880758.75085793
463541.217213528,7880140.63143445
463077.172488642,7880732.99588195
463077.172488642,7880732.99588195
461427.235689046,7880140.63143445
459906.200201918,7880398.18119423
459906.200201918,7880398.18119423
459261.693639576,7880243.65133837
459055.451539626,7880552.7110501
459158.572589601,7880758.75085793
458771.868652196,7881222.34042553
458746.088389702,7881531.40013727
459081.23180212,7882098.00960878
459287.47390207,7882098.00960878
459287.47390207,7882098.00960878
459545.276527007,7881479.89018531
459931.980464412,7882046.49965683
459931.980464412,7882046.49965683
460447.585714286,7881788.94989705
460808.509389197,7881891.96980096
460808.509389197,7881891.96980096
461324.114639071,7881660.17501716
461581.917264008,7882381.31434454
461633.477788995,7882844.90391215
460473.365976779,7883463.02333562
460447.585714286,7884055.38778312
459442.155477032,7884647.75223061
459442.155477032,7884647.75223061
458952.330489652,7883772.08304736
458462.505502272,7883411.51338367
458256.263402322,7883720.5730954
458746.088389702,7884158.40768703
458849.209439677,7885214.36170213
459132.792327107,7885446.15648593
458488.285764765,7885935.50102951
458178.922614841,7886579.37542896
458178.922614841,7886579.37542896
457457.075265018,7886347.58064516
457199.272640081,7887145.98490048
457534.416052499,7887429.28963624
458823.429177183,7887712.594372
458823.429177183,7887712.594372
459519.496264513,7887635.32944406
459957.760726906,7887841.36925189
459957.760726906,7888304.9588195
460370.244926805,7888356.46877145
460705.388339223,7888407.9787234
461272.554114084,7888768.5483871
461272.554114084,7888768.5483871
462045.961988894,7888691.28345916
462664.688288743,7888845.81331503
463180.293538617,7889618.46259437
463644.338263503,7889927.5223061
464598.20797577,7891421.31091283
464907.571125694,7891627.35072066
464649.768500757,7892503.01990391
464366.185613327,7892631.7947838
463979.481675921,7893378.68908717
463154.513276123,7894099.82841455
462999.831701161,7894743.702814
462484.226451287,7894795.21276596
462484.226451287,7894795.21276596
462071.742251388,7894589.17295813
461040.531751641,7892039.43033631
460808.509389197,7891807.6355525
460653.827814235,7891884.90048044
460447.585714286,7892606.03980782
460602.267289248,7893327.17913521
460473.365976779,7893790.76870281
460473.365976779,7893790.76870281
460138.222564361,7893765.01372684
459493.716002019,7893327.17913521
458926.550227158,7891936.4104324
458153.142352347,7891550.08579272
457096.151590106,7891395.55593686
457018.810802625,7891575.8407687
457225.052902574,7891910.65545642
457225.052902574,7892245.47014413
457560.196314992,7892580.28483185
457457.075265018,7892837.83459163
458307.823927309,7893481.70899108
458024.241039879,7893713.50377488
458024.241039879,7893713.50377488
457405.51474003,7893327.17913521
456915.68975265,7893043.87439945
455471.995053003,7891653.10569664
455111.071378092,7891550.08579272
455214.192428067,7892245.47014413
455059.510853104,7892425.75497598
455059.510853104,7892425.75497598
454131.421403332,7892090.94028826
454105.641140838,7892425.75497598
455729.79767794,7895078.51750172
455652.456890459,7895490.59711736
456116.501615346,7896495.04118051
455704.017415447,7897087.405628
456296.963452802,7897293.44543583
456528.985815245,7897963.07481126
456477.425290257,7898194.86959506
455471.995053003,7898735.7240906
454775.927965674,7898787.23404255
454775.927965674,7898787.23404255
454724.367440687,7898735.7240906
454363.443765775,7898375.1544269
453770.49772842,7898478.17433082
453770.49772842,7898478.17433082
453718.937203432,7897705.52505148
452945.529328622,7896804.10089224
452661.946441191,7896752.59094029
452326.803028773,7897035.89567605
452326.803028773,7897035.89567605
451940.099091368,7896572.30610844
451785.417516406,7896598.06108442
451733.856991418,7897035.89567605
452094.78066633,7898169.11461908
451991.659616355,7898452.41935484
451656.516203937,7898684.21413864
451682.296466431,7900203.75772134
451476.054366482,7900281.02264928
451476.054366482,7900281.02264928
450986.229379101,7899971.96293754
450831.547804139,7899096.29375429
450547.964916709,7898761.47906657
448769.126804644,7898040.33973919
448562.884704695,7897602.50514756
448150.400504795,7897422.22031572
447737.916304896,7896881.36582018
447454.333417466,7896932.87577213
447093.409742554,7898452.41935484
447093.409742554,7898452.41935484
446139.540030288,7897422.22031572
446294.22160525,7896829.85586822
446758.266330136,7896649.57103638
446887.167642605,7896005.69663693
448717.566279657,7894846.72271791
448769.126804644,7894717.94783802
447918.378142352,7894614.92793411
448872.247854619,7893378.68908717
448975.368904594,7892863.5895676
450238.601766784,7892451.50995196
451012.009641595,7891807.6355525
451192.471479051,7891086.49622512
451656.516203937,7890494.13177763
453229.112216052,7888459.48867536
453358.013528521,7887815.6142759
453100.210903584,7887326.26973233
452507.264866229,7887042.96499657
452197.901716305,7887120.2299245
NA,NA
542763.963856638,7874654.82155113
544259.219081272,7879316.47220316
544233.438818778,7880475.44612217
543975.636193841,7880552.7110501
543975.636193841,7880552.7110501
542918.6454316,7879007.41249142
542995.986219081,7878672.5978037
542377.259919233,7877384.8490048
542196.798081777,7878260.51818806
542970.205956588,7879883.08167467
542970.205956588,7880655.73095401
543434.250681474,7881093.56554564
543511.591468955,7881170.83047358
543331.129631499,7881711.68496911
543537.371731449,7882226.78448868
543408.47041898,7882484.33424846
542428.82044422,7882741.88400824
542119.457294296,7883076.69869595
542454.600706714,7883256.9835278
542454.600706714,7883256.9835278
543253.788844018,7883128.2086479
544645.923018677,7884184.162663
545135.748006058,7884261.42759094
545625.572993438,7885008.3218943
545264.649318526,7885394.64653397
545574.01246845,7885677.95126973
545084.18748107,7886064.2759094
544981.066431095,7886553.62045299
545677.133518425,7886630.88538092
545780.2545684,7886862.68016472
545548.232205956,7887120.2299245
544929.505906108,7887300.51475635
544800.60459364,7887532.30954015
544955.286168602,7887892.87920384
544645.923018677,7889129.11805079
543820.954618879,7889335.15785861
543537.371731449,7889412.42278655
542686.623069157,7889979.03225806
542686.623069157,7889979.03225806
541706.973094397,7889669.97254633
541062.466532055,7889180.62800275
540624.202069662,7888510.99862732
540649.982332155,7888021.65408373
539902.354719838,7886836.92518874
539773.45340737,7886193.0507893
539464.090257446,7885858.23610158
539309.408682484,7885265.87165408
538690.682382635,7884493.22237474
538355.538970217,7884621.99725463
538123.516607774,7885034.07687028
538458.660020192,7885600.6863418
538097.73634528,7886038.52093343
538123.516607774,7887017.21002059
538355.538970217,7887326.26973233
538149.296870267,7887841.36925189
538303.97844523,7888330.71379547
538200.857395255,7888948.83321894
538020.395557799,7889000.3431709
538020.395557799,7889000.3431709
537839.933720343,7888871.568291
536705.602170621,7888021.65408373
536241.557445735,7887480.7995882
536267.337708228,7886939.94509266
535261.907470974,7885265.87165408
NA,NA
456864.129227663,7873933.68222375
457792.218677436,7873985.1921757
457946.900252398,7874216.9869595
457817.998939929,7874474.53671929
457379.734477537,7874732.08647907
456761.008177688,7874860.86135896
456761.008177688,7874860.86135896
456580.546340232,7874654.82155113
456864.129227663,7873933.68222375
NA,NA
450908.88859162,7874886.61633493
451012.009641595,7874577.5566232
451579.175416456,7874294.25188744
452584.60565371,7874320.00686342
452584.60565371,7874320.00686342
452661.946441191,7873753.3973919
452997.089853609,7873264.05284832
452301.02276628,7872954.99313658
451244.032004038,7872800.46328071
450083.920191822,7873367.07275223
450083.920191822,7873367.07275223
449568.314941949,7873315.56280027
449026.929429581,7873650.37748799
449026.929429581,7873650.37748799
448717.566279657,7873598.86753603
448537.104442201,7873392.82772821
448872.247854619,7872723.19835278
448691.786017163,7872491.40356898
446758.266330136,7871821.77419355
446268.441342756,7871847.52916953
444541.163755679,7873624.62251201
444180.240080767,7873985.1921757
443999.778243311,7875169.9210707
443200.590106007,7875736.53054221
443174.809843513,7876071.34522992
443484.172993438,7876354.64996568
443303.711155982,7876586.44474948
440854.586219081,7878337.783116
440571.003331651,7878749.86273164
440880.366481575,7879136.18737131
445649.715042908,7882201.0295127
NA,NA
426030.935285210,7871255.16472203
426494.980010096,7871744.50926561
427268.387884906,7872826.21825669
427938.674709742,7874526.04667124
427809.773397274,7874963.88126287
427448.849722362,7875324.45092656
427345.728672388,7875350.20590254
426881.683947501,7875478.98078243
427113.706309944,7876045.59025395
426933.244472489,7876509.17982155
425927.814235235,7877075.78929307
NA,NA
436910.206057547,7869890.1509952
437168.008682484,7869941.66094715
437374.250782433,7870199.21070693
436987.546845028,7870868.84008236
436446.16133266,7871229.40974605
436446.16133266,7871229.40974605
435982.116607774,7871074.87989018
435930.556082786,7870817.3301304
436188.358707723,7870405.25051476
436910.206057547,7869890.1509952
NA,NA
409119.083089349,7874938.12628689
409712.029126704,7875478.98078243
410124.513326603,7875942.57035003
410124.513326603,7875942.57035003
410382.315951539,7875865.3054221
411001.042251388,7875504.73575841
411439.306713781,7875607.75566232
412109.593538617,7875659.26561428
412109.593538617,7875659.26561428
412367.396163554,7875582.00068634
412960.342200909,7875916.81537406
413269.705350833,7876251.63006177
412934.561938415,7876689.4646534
412496.297476022,7876869.74948524
412496.297476022,7876869.74948524
411980.692226148,7876843.99450927
411310.405401312,7876792.48455731
410975.261988894,7876947.01441318
410975.261988894,7876947.01441318
410408.096214033,7876740.97460535
410072.952801615,7877075.78929307
410150.293589096,7877230.31914894
410253.414639071,7877796.92862045
411001.042251388,7878286.27316404
411439.306713781,7878518.06794784
411903.351438667,7878595.33287577
412444.736951035,7879187.69732327
412934.561938415,7879367.98215511
412702.539575972,7879805.81674674
412522.077738516,7880037.61153054
412161.154063604,7880449.6911462
411954.911963655,7880707.24090597
411361.9659263,7880861.77076184
411078.383038869,7880964.79066575
410743.239626451,7881351.11530542
410176.07385159,7881634.42004118
409995.612014134,7881660.17501716
409944.051489147,7882484.33424846
409969.831751641,7883128.2086479
409969.831751641,7883128.2086479
410485.437001514,7882973.67879204
411104.163301363,7882638.86410432
411310.405401312,7882020.74468085
411645.548813730,7881737.4399451
412109.593538617,7881582.91008922
412315.835638566,7881351.11530542
412547.858001010,7881145.0754976
413243.925088339,7881428.38023336
413243.925088339,7881428.38023336
413475.947450782,7881067.81056966
413862.651388188,7880681.48593
414197.794800606,7880423.93617021
414842.301362948,7880295.16129032
415203.225037860,7880423.93617021
415203.225037860,7880423.93617021
415357.906612822,7879805.81674674
415125.884250379,7879419.49210707
414842.301362948,7878363.53809197
414404.036900555,7877848.4385724
414532.938213024,7877281.8291009
414378.256638061,7876998.52436513
414687.619787986,7876509.17982155
415048.543462897,7876586.44474948
415641.489500252,7876998.52436513
415976.63291267,7877281.8291009
415693.05002524,7877590.88881263
415770.390812721,7877874.19354839
416002.413175164,7878440.8030199
416466.45790005,7878466.55799588
416827.381574962,7878672.5978037
417265.646037355,7878749.86273164
417703.910499748,7879136.18737131
418116.394699647,7879264.9622512
418116.394699647,7879264.9622512
418322.636799596,7878595.33287577
418322.636799596,7878260.51818806
418271.076274609,7877590.88881263
418039.053912166,7877230.31914894
417781.251287229,7877127.29924502
418090.614437153,7876431.91489362
418606.219687027,7875994.08030199
418451.538112065,7875788.04049417
418374.197324583,7875607.75566232
418399.977587077,7875144.16609471
418348.41706209,7874423.02676733
418503.098637052,7874062.45710364
418889.802574457,7873959.43719972
419405.407824331,7874139.72203157
419405.407824331,7874139.72203157
419714.770974255,7873856.41729581
419946.793336699,7873933.68222375
419946.793336699,7873933.68222375
420513.95911156,7873804.90734386
420488.178849066,7873418.58270419
420565.519636547,7873109.52299245
420539.739374054,7872620.17844887
420410.838061585,7872311.11873713
420049.914386673,7871641.4893617
419353.847299344,7871023.36993823
419147.605199394,7870688.55525051
419173.385461888,7870096.19080302
419534.309136799,7869735.62113933
420075.694649167,7869709.86616335
420668.640686522,7870018.92587509
420771.761736497,7870405.25051476
421081.124886421,7870920.35003432
421442.048561333,7871074.87989018
421570.949873801,7871177.8997941
421906.093286219,7871332.42964997
421906.093286219,7871332.42964997
422034.994598688,7871100.63486616
422447.478798586,7871100.63486616
422756.841948511,7871126.38984214
422756.841948511,7871126.38984214
422988.864310954,7870817.3301304
423091.985360929,7870559.78037062
423349.787985866,7870456.76046671
423916.953760727,7870971.85998627
424329.437960626,7871203.65477008
423968.514285714,7871667.24433768
424020.074810702,7872259.60878517
423710.711660777,7872748.95332876
423530.249823321,7873238.29787234
423942.734023221,7873624.62251201
424097.415598183,7873779.15236788
424226.316910651,7874113.9670556
424252.097173145,7875041.1461908
424148.97612317,7875375.96087852
424097.415598183,7876200.12010981
424148.97612317,7876406.15991764
424664.581373044,7877101.54426905
425128.62609793,7877178.80919698
425128.62609793,7877178.80919698
425876.253710247,7877153.054221
425927.814235235,7877075.78929307
NA,NA
426030.935285210,7871255.16472203
425128.62609793,7869581.09128346
424638.80111055,7868679.66712423
424174.756385664,7868344.85243651
NA,NA
425798.912922766,7866104.16952642
425824.69318526,7865434.540151
NA,NA
424174.756385664,7868344.85243651
