V1,V2
547971.576880363,7815109.31708991
546914.586118122,7815598.6616335
NA,NA
547971.576880363,7815109.31708991
547172.388743059,7813873.07824297
545238.869056032,7811889.94509266
545135.748006058,7811220.31571723
545161.528268551,7810293.13658202
545702.913780919,7807537.35415237
545367.770368501,7806120.83047358
545213.088793539,7804214.9622512
544336.559868753,7802566.6437886
543614.71251893,7799244.25188744
543820.954618879,7797544.42347289
543924.075668854,7796565.73438572
544181.878293791,7795921.85998627
544027.196718829,7794608.3562114
543975.636193841,7792470.69320522
544181.878293791,7791363.22923816
545058.407218576,7789895.19560741
544877.945381121,7788736.2216884
545032.626956083,7787834.79752917
545780.2545684,7786366.76389842
545857.595355881,7785825.90940288
545831.815093387,7785619.86959506
NA,NA
545187.308531045,7785285.05490734
545238.869056032,7785851.66437886
544542.801968703,7787036.39327385
544362.340131247,7787989.32738504
544517.021706209,7789998.21551132
544130.317768804,7790230.01029513
543614.71251893,7790925.39464653
543331.129631499,7792058.61358957
543434.250681474,7796952.0590254
542970.205956588,7799218.49691146
542867.084906613,7799707.84145504
543021.766481575,7800815.3054221
544027.196718829,7804163.45229924
544027.196718829,7806429.89018531
543975.636193841,7807228.29444063
543949.855931348,7808799.3479753
544413.900656234,7810035.58682224
544284.999343766,7811658.15030885
544568.582231196,7812533.8194921
546914.586118122,7815598.6616335
NA,NA
543975.636193841,7782967.10706932
544671.703281171,7784229.10089224
545187.308531045,7785285.05490734
NA,NA
541474.950731953,7777687.33699382
543099.107269056,7779103.86067261
543331.129631499,7779515.94028826
543717.833568905,7780803.68908717
543717.833568905,7782142.94783802
543975.636193841,7782967.10706932
NA,NA
545831.815093387,7785619.86959506
545290.42958102,7784048.8160604
545187.308531045,7783533.71654084
544877.945381121,7781679.35827042
543588.932256436,7778923.57584077
541810.094144371,7777455.54221002
NA,NA
537762.592932862,7775910.24365134
538200.857395255,7775472.40905971
538742.242907622,7775292.12422787
539335.188944977,7775266.36925189
540057.036294801,7775832.9787234
